"No.","Time","Source","Destination","Protocol","Length","Info"
"1890","5.104254","192.168.1.2","187.19.145.48","UDP","71","53800  >  443 Len=29"
"1891","5.104411","192.168.1.2","187.19.145.48","UDP","71","53800  >  443 Len=29"
"1892","5.108683","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1893","5.108683","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1894","5.108685","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1895","5.108687","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1896","5.108688","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1897","5.108689","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1898","5.108689","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1899","5.108690","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1900","5.108690","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1901","5.108691","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1902","5.108692","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1903","5.108692","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1904","5.108693","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1905","5.108693","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1906","5.108694","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1907","5.109136","192.168.1.2","187.19.145.48","UDP","71","53800  >  443 Len=29"
"1908","5.110513","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1909","5.110514","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1910","5.110516","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1911","5.110516","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1912","5.110517","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1913","5.110517","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1914","5.110518","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1915","5.110518","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1916","5.110519","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1917","5.110520","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1918","5.110520","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1919","5.110521","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1920","5.110521","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1921","5.110522","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1922","5.110522","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1923","5.110906","192.168.1.2","187.19.145.48","UDP","71","53800  >  443 Len=29"
"1924","5.111050","192.168.1.2","187.19.145.48","UDP","71","53800  >  443 Len=29"
"1925","5.115172","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1926","5.115173","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1927","5.115175","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
