"No.","Time","Source","Destination","Protocol","Length","Info"
"16853","16.029843","192.168.1.2","187.19.145.48","UDP","82","52409  >  443 Len=40"
"16854","16.030710","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16855","16.030710","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16856","16.030711","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16857","16.030711","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16858","16.030711","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16859","16.030712","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16860","16.030712","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16861","16.030712","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16862","16.030713","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16863","16.030713","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16864","16.030713","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16865","16.030714","187.19.145.48","192.168.1.2","UDP","76","443  >  52409 Len=34"
"16866","16.030907","192.168.1.2","187.19.145.48","UDP","71","52409  >  443 Len=29"
"16867","16.031965","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16868","16.031965","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16869","16.031966","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16870","16.031966","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16871","16.031967","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16872","16.031967","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
